revision;transactionControl;blowfish;blowfish * cacheSize_2500;blowfish * cacheSize_10000;blowfish * logSize_5;blowfish * logSize_50;blowfish * logSize_100;logSize_5;logSize_50;logSize_100;cacheSize_2500;cacheSize_10000;encryption;mvcc;locks;blowfish * defragLimit_50 * logSize_5;blowfish * defragLimit_50 * logSize_50;blowfish * defragLimit_50 * logSize_100;blowfish * defragLimit_100 * logSize_5;blowfish * defragLimit_100 * logSize_50;blowfish * defragLimit_100 * logSize_100;error
2.1.0;56255.7518518519;79403.7173611112;-64450.7708333337;-73608.1743055557;19070.0944444448;15309.2388888892;14950.0416666671;6518.14999999989;3895.29722222209;3789.67777777766;-1019.89583333328;-1408.2312499999;606.238888888827;46.7909722222594;-133.840277777683;-4565.40000000008;-558.266666666776;311.433333333273;-5039.25000000007;-159.616666666727;332.599999999916;2.40423939437154
2.2.0;56521.225462963;79077.488888889;-64274.8333333336;-73620.3458333334;19927.7500000003;15613.6833333337;15861.6027777782;8525.61388888878;5899.75555555542;5776.97777777766;-909.74999999995;-2188.18194444434;1183.47361111108;-20.6479166666213;-415.703472222107;-5191.66666666675;130.091666666549;-108.950000000061;-5325.07500000007;24.3583333332691;-38.9916666667565;3.02230491553622
2.2.1;56774.100462963;79543.557638889;-64309.7027777781;-73756.2486111112;20191.9361111114;15672.791666667;15732.141666667;8178.28055555545;5770.44999999987;5684.63333333322;-943.991666666618;-2147.95833333323;626.94027777774;41.0444444444947;-173.1833333332;-5617.96666666675;-2.22500000011744;-8.82500000006831;-5651.15000000007;48.6249999999402;113.483333333252;2.99602074806073
2.2.2;55309.8032407409;22692.06875;-7686.39166666674;-16795.9034722222;19779.4250000002;15144.5722222224;15223.3958333335;8136.61944444441;5719.83055555549;5725.79027777773;-105.936111111118;-1193.3618055555;881.600694444314;-41.9215277777694;-377.311111111067;-5424.12500000009;-3.85000000009303;81.1749999999223;-5656.7833333334;76.7166666666018;16.7249999999067;2.86589774740903
2.2.3;55170.6784722224;22827.4090277778;-7921.11666666674;-17274.2125;20209.3111111113;15597.1097222224;15897.5930555557;7833.5083333333;5491.92638888882;5347.43472222218;-108.225000000005;-1170.51388888883;1159.23888888874;-88.5437499999953;-412.622916666627;-5637.53333333342;38.2666666665636;-176.341666666745;-5576.01666666674;155.533333333273;1.75833333323377;2.88906263856862
2.2.4;55205.7608796298;23117.9027777778;-7976.6347222223;-17324.1451388889;20054.3500000002;15741.015277778;15747.0263888891;8065.51388888885;5571.07361111104;5462.84583333329;-32.3986111111164;-1097.39236111105;817.584722222087;-103.268750000001;-345.636805555514;-5546.60000000009;10.2083333332354;146.316666666592;-5454.69166666674;-133.766666666732;-80.4000000000917;2.87562807232507
2.2.5;54674.3442129632;22852.3416666667;-7828.17361111119;-17286.9680555555;20082.0652777779;15575.1972222224;15769.0138888891;7783.62916666663;5258.93055555549;5094.36388888884;-81.5069444444469;-891.948611111054;1029.66319444431;-28.9041666666708;-289.3659722222;-5522.98333333342;101.858333333237;53.2166666665944;-5420.80833333341;265.266666666604;202.441666666578;2.71489303156259
2.2.6;56601.453240741;22815.0993055556;-7764.01250000007;-17087.6555555555;19754.9291666668;15299.3333333335;15356.677777778;7824.75972222218;5252.02222222215;5258.8944444444;-74.8986111111172;-1338.1930555555;749.529861110983;-1565.14236111111;-1743.71527777773;-5607.54166666676;93.8333333332252;59.3499999999176;-5551.61666666675;135.541666666597;-26.2416666667667;2.99435688649887
2.2.7;56892.4474537039;22658.8791666667;-7685.72083333341;-17163.1604166666;20225.1875000002;15583.2013888891;15896.6694444446;7662.71527777774;5325.20138888882;5173.48333333328;-29.9513888888947;-1248.8243055555;1193.37638888876;-1927.58888888889;-2175.4972222222;-5608.50833333342;130.149999999896;-76.308333333414;-5623.08333333341;-155.141666666732;-2.27500000010049;3.07072246926853
2.2.8;56522.5307870372;22895.9097222223;-7782.72916666674;-17098.7236111111;20042.7583333335;15513.3486111113;15724.2694444446;7849.87499999996;5345.02638888882;5248.87222222218;3.55416666666057;-1269.27916666661;789.368749999863;-1760.27222222222;-1970.97013888885;-5600.49166666675;33.2916666665644;-24.591666666748;-5569.37500000008;-78.6083333333993;32.8499999999002;3.02151318102853
2.2.9;55910.226851852;23815.7173611112;-8513.8222222223;-18192.6819444444;19699.576388889;15163.6291666668;15281.3500000002;8421.65972222219;5562.46527777771;5627.38611111107;362.877777777773;-1063.29166666661;721.730555555423;-1361.625;-1650.91388888884;-5780.69166666676;275.41666666656;63.8416666665892;-5774.05833333341;182.991666666604;-30.041666666762;3.20645624086928
2.3.0;55024.6409722224;25640.6986111111;-8586.63194444453;-20675.4715277778;30065.0625000002;15384.3333333335;15478.1597222224;8855.86249999995;5339.98333333326;5396.1569444444;212.862500000002;-1035.34374999994;476.168055555409;-16.9479166666533;-294.274999999951;-3971.83333333344;140.749999999876;-125.950000000078;-16380.0833333334;25.608333333256;-13.0000000001142;3.278646088106
2.3.1;54839.8134259261;25723.6361111111;-8764.40972222231;-20895.6590277777;30302.7375000002;15689.2555555558;15795.7986111113;8879.66249999995;5296.3527777777;5432.12638888885;197.470833333336;-1056.11458333328;667.069444444314;-91.0451388888778;-459.12222222217;-4376.29166666676;141.899999999881;-250.866666666747;-16544.3416666668;-118.133333333411;-207.391666666788;3.27929403169643
2.3.2;54847.1685185187;25604.0576388889;-8488.05833333342;-20555.7993055555;30077.8541666669;15466.0569444446;15563.9597222224;9006.19305555551;5445.39861111103;5481.96249999996;117.930555555557;-1113.78541666661;510.340972222075;-5.76249999999345;-316.057638888829;-4603.66666666677;10.4083333332063;59.9416666665904;-16418.8916666668;-43.1166666667463;104.991666666549;3.27749829492311
2.3.3;55700.3784722224;25357.0958333334;-7426.79444444452;-19804.5048611111;30130.1263888891;15474.840277778;15614.3930555558;8201.11249999994;5172.55694444437;5396.19583333329;-66.2833333333346;-1492.57013888883;517.179861110963;-26.6055555555413;-264.402777777723;-552.20000000009;481.116666666549;-191.283333333406;-16524.2750000001;43.2583333332558;-255.675000000113;3.63561009309697
2.3.4;55490.1706018521;25583.2909722223;-7659.53750000009;-19924.1145833333;29900.1194444447;15388.865277778;15572.7930555558;7986.70833333327;5024.02083333326;5191.15972222218;-74.5152777777785;-1243.34791666661;293.265277777646;59.217361111123;-323.522916666614;-446.033333333427;233.224999999884;-78.916666666743;-16332.4333333334;-6.57500000007188;-119.000000000115;3.43400747925789
2.3.5;55885.0918981484;25302.8951388889;-7399.95138888897;-19717.1923611111;30077.9861111114;15563.577777778;15521.777777778;8033.34722222217;5170.34722222215;5418.81388888885;-66.5736111111122;-1365.28124999994;567.999999999862;60.096527777785;-292.078472222169;-246.808333333421;250.091666666552;-1.52500000007559;-16471.8666666667;-2.81666666674086;-48.7416666667822;3.5394979411592
2.4.0;55187.5511574076;25415.6638888889;-7606.10972222231;-19797.9479166666;29990.115277778;15499.7791666669;15476.0944444447;8044.12916666661;5006.7152777777;5127.77499999996;71.2236111111111;-1194.33541666661;665.411111110981;25.2305555555631;-327.227777777731;-474.991666666757;34.424999999883;-94.6250000000821;-16535.2583333334;-79.2500000000778;-95.5500000001199;3.42982112584598
2.4.1;55431.9541666669;25395.0729166667;-7535.95416666675;-19818.4111111111;30030.2180555558;15524.8111111113;15462.9055555558;8096.77638888883;5088.34999999992;5296.56388888885;-21.1958333333332;-1239.67361111105;623.078472222074;-22.6534722222168;-331.406944444403;-387.716666666752;95.0416666665502;-123.783333333412;-16484.6250000001;-46.8250000000786;-30.225000000119;3.43959693751558
