revision;innodbFlushMethod;delayedInnodbLogFlush;delayedInnodbLogFlush * dsyncFlush;delayedInnodbLogFlush * directFlush;delayedInnodbLogFlush * delayedInnodbLogWrite * dsyncFlush;delayedInnodbLogFlush * delayedInnodbLogWrite * directFlush;dsyncFlush;directFlush;delayedInnodbLogWrite * dsyncFlush;delayedInnodbLogWrite * directFlush;binaryLog;delayedInnodbLogWrite;innodbBufferPoolSize_64;innodbBufferPoolSize_512;binaryLog * delayedInnodbLogFlush;dsyncFlush * innodbBufferPoolSize_64;dsyncFlush * innodbBufferPoolSize_512;directFlush * innodbBufferPoolSize_64;directFlush * innodbBufferPoolSize_512;binaryLog * delayedInnodbLogFlush * dsyncFlush;binaryLog * delayedInnodbLogFlush * directFlush;binaryLog * innodbBufferPoolSize_64;binaryLog * innodbBufferPoolSize_512;delayedInnodbLogWrite * innodbBufferPoolSize_64;delayedInnodbLogWrite * innodbBufferPoolSize_512;error
5.6.10;128.770568919754;-65.9285412345679;65.4516087037033;0.0431115740738566;-31.5614920370369;0.0131286111109539;-1.03292679012341;2.39612981481472;-31.5614920370373;0.0131286111110072;1.51620329218065;-3.81307854938241;-5.76352898148189;-6.16968074074127;0.280570987654389;-1.73360925925932;-1.39304759259262;-2.80558537037028;-2.53662018518504;-0.104370740740649;-0.2503131481484;-1.15525765432092;-0.652607407407189;3.93289564814826;4.00570444444458;2.69787186277915
5.6.13;130.762815061729;-66.9333829320988;65.9917049999996;-1.6975921296298;-33.2535116666666;-0.16477527777792;1.20218777777781;5.11581697530853;-33.2535116666669;-0.164775277777863;0.90327880658394;-3.43346061728364;-7.38136311728437;-7.61177854938326;0.888331419753186;-1.46411240740745;-1.31721092592593;-3.34505851851841;-3.31899851851835;0.309178888888994;0.139874999999741;-0.71666703703697;-0.684876419752866;4.40138990740751;4.64980805555569;3.15185640949806
5.6.15;129.220701152264;-64.9021133641976;65.1216349999996;-0.254346481481674;-32.9798657407406;0.409836481481324;1.6915445679013;2.17796574074068;-32.979865740741;0.409836481481385;2.14180687242755;-2.89573728395029;-6.34966901234607;-6.66411629629681;-0.415518086419663;-2.35619537037044;-1.49227222222226;-3.0387766666666;-3.09311777777764;2.78955333333346;0.788675555555304;-0.755352469135745;-0.946765555555342;2.86893018518528;3.01968888888902;3.28631465350973
5.6.17;130.587474063787;-67.3497342901235;67.7369795370367;0.611531944444257;-33.6405226851851;0.0589197222220541;1.17041216049388;3.09999296296285;-33.6405226851855;0.0589197222221252;2.05808160493782;-3.71415219135769;-6.82815225308683;-6.84291123456845;-0.189483271604843;-1.92570074074079;-2.25855740740742;-3.4284488888888;-3.5392455555554;2.01057203703716;0.120271666666415;-1.03330111111104;-0.548343333333104;4.22900120370381;3.84602037037051;3.3782291257702
5.6.20;132.104784207819;-67.913263117284;64.8750542592589;-1.11245064814831;-32.8469448148147;-0.370744351852021;0.95933586419758;3.10111191358012;-32.8469448148151;-0.370744351851936;2.38473102880613;-3.55311972222191;-7.53364163580289;-7.77597913580301;-1.34845820987642;-1.34312388888895;-1.18959703703705;-1.96603166666657;-1.58247074074058;1.19602629629641;0.721349814814548;-0.766298395061663;-0.632223950617058;4.25361305555566;4.73775222222237;3.48860358976833
5.6.22;128.809968117284;-65.6145349382716;66.1251309259255;-2.40923453703724;-33.6599166666665;-0.79197435185203;1.17843080246919;5.37215790123444;-33.6599166666669;-0.791974351851941;1.54806790123412;-1.58595416666635;-7.17909858024732;-7.41765151234623;0.312867283950705;-1.91187203703709;-1.65663037037038;-2.35380314814806;-2.94934444444427;1.46679851851862;0.0890746296293834;-0.563376790123397;0.303883456790355;2.89924203703713;3.36971935185199;3.55102316404843
5.6.24;130.304958693416;-67.4654060185186;63.8726613888884;-0.623757777777971;-32.3869295370369;-0.631515000000164;3.28102759259264;3.93319907407398;-32.3869295370373;-0.631515000000103;0.763717119341154;-2.81461861111078;-7.85788391975347;-7.95826104938323;0.511092777777865;-1.8988446296297;-2.55004703703706;-1.87865055555548;-1.99238111111097;0.167463518518609;-0.752792222222471;0.104276296296345;0.473662345679225;3.55847509259269;3.92956129629642;3.71506833244411
5.6.26;134.570857366256;-69.299952654321;66.1371023148144;4.48039046296274;-31.4531158333332;0.208517870370187;-1.70173216049377;-2.93404024691364;-31.4531158333336;0.208517870370262;3.41365440329176;-3.49204907407378;-8.04086558642015;-7.89178521604991;-1.84970765432088;-1.95738944444452;-1.34701796296301;-2.53155888888882;-2.54562037037024;0.148310185185316;0.451265740740524;-0.357355308641908;-0.535493827160271;4.69922805555566;4.37024138888903;3.42411509314904
5.7.9;130.323131090536;-65.0340746604941;66.8148059259256;0.745489444444356;-31.5955725925925;0.353016296296204;0.380284135802307;3.27642179012321;-31.5955725925929;0.353016296296147;59.4278110288056;-2.89211259259228;-6.92166842592663;-7.92287558642059;15.4419137654325;-0.75472685185185;-0.518023888888821;-4.95035333333311;-5.08134592592572;-6.85071962962937;0.658711481481284;-5.63454839506144;-4.71733320987605;2.26954175925961;3.56012879629667;3.54638462930442
5.7.11;133.928172500001;-70.4869774074076;67.732673796296;-0.810785370370464;-31.0254649074072;0.312827592592527;0.197871604938076;7.62349895061706;-31.0254649074077;0.312827592592413;59.9674832098754;-3.94642916666635;-6.31386830246988;-5.95511030864285;16.1623266666671;-1.87745574074071;-1.70253351851842;-6.93148129629603;-7.40633333333308;-6.9616375925924;1.62177037037019;-6.43769999999969;-6.32465185185133;4.15162712962999;3.12174481481522;3.3563955995042
5.7.14;130.572196594652;-67.3512958641978;67.5871771296293;-1.65400666666672;-31.6433299074072;1.27893814814806;0.81735080246894;7.68569499999971;-31.6433299074077;1.27893814814796;59.7266134979413;-4.03007225308613;-6.57230635802541;-6.95825750000085;16.1412050617288;-1.18084574074072;-0.784664999999903;-6.15077481481458;-6.14292629629605;-7.92891240740717;-2.8267362962965;-5.9932650617281;-5.45111395061677;3.25477777777813;3.59558898148188;3.45063404586536
5.7.17;132.788167993828;-68.3554845061731;64.3794560185183;-0.520515370370397;-32.8268008333332;-0.520326296296346;4.24248808641954;9.07433024691337;-32.8268008333336;-0.520326296296474;59.6861269135792;-2.83014675925897;-7.36458555555625;-7.75669046296379;10.0938353086424;-1.10121425925926;-0.979161111111034;-7.99150240740718;-8.26991999999979;-3.62594240740719;1.2329581481479;-6.58692444444416;-4.96016777777729;3.1708355555559;3.34276138888927;2.99793621177784
5.7.18;129.245591224281;-65.6371405555558;63.2949954629627;0.214600833333275;-30.1430700925925;0.0197606481480861;1.22372370370353;7.50443277777758;-30.1430700925929;0.0197606481479582;63.8416248971183;-2.37622361111086;-6.18893456790194;-6.69079799382799;9.99465037037076;-2.42130592592593;-2.341254074074;-9.98185537037016;-9.2066574074072;-3.71074351851829;0.792256481481274;-6.44418222222191;-6.96241135802418;4.67720537037073;3.97896768518558;3.41029575122812
5.7.20;130.705847355968;-67.4224838271608;64.2708012037034;-1.03698898148156;-30.9220828703702;0.25513712962961;1.79310179012323;9.18365814814792;-30.9220828703707;0.255137129629482;61.5721569958837;-2.96618941357995;-6.73522941358096;-6.65785950617369;12.0430395061732;-1.0949885185185;-2.02412462962953;-8.62826629629605;-8.67783648148124;-5.85244203703679;0.0261820370368326;-7.4753037037034;-7.08418691357974;3.99557712962999;4.08805666666707;3.10877159329184
5.7.21;136.470246399178;-72.0446900617286;69.7793710185183;3.43029444444435;-32.6234180555554;-0.639816481481546;1.48453074074052;7.0060545061726;-32.6234180555559;-0.639816481481702;61.198857037036;-4.37820086419723;-6.0744863888896;-7.11839651234653;15.0275767901239;-1.71409388888888;-1.62976666666659;-9.3402557407405;-9.37011499999978;-9.20825537037015;-0.201635555555761;-6.67649950617255;-5.54210086419703;3.38434175925961;4.61405305555595;3.55950093513474
5.7.22;131.220033364199;-68.1498045679015;61.4051119444442;-2.86306157407418;-31.1159139814813;-0.0155458333333698;4.05072604938253;11.2602566666664;-31.1159139814818;-0.0155458333334835;58.9033617695463;-2.51320700617254;-8.03039422839576;-6.8950666049391;15.4374528395066;0.0445614814814896;-1.4230951851851;-8.71755129629607;-8.74815981481458;-7.49873240740721;-1.79475240740759;-5.09914222222194;-5.15762938271556;4.30643657407442;3.40987000000039;3.97033214552023
8.0.12;249.977745154322;-84.5074842901233;85.1858561111101;-2.86375814814874;-57.8302375925925;-1.11853740740766;71.0794651851855;26.3247559876543;-57.8302375925929;-1.11853740740776;0.118451069958183;-4.61465114197446;-22.8844439197538;-23.124811728396;2.59246598765451;-6.0850551851854;-7.01927648148151;-24.730612037037;-24.8861337037035;-1.63856592592565;-3.25241407407454;0.738082839506274;0.0708909876546087;6.48521750000002;5.60716759259265;3.0566811773555
8.0.13;253.957996172841;-88.1706644753085;83.5375997222212;-2.29212685185235;-54.689286574074;-0.769787777778063;70.171197469136;28.2281494444443;-54.6892865740745;-0.769787777778149;-1.30170004115306;-9.56133956790046;-22.7761699382724;-22.4404859876553;0.670551172839623;-5.63842314814833;-6.2804309259259;-25.189557037037;-26.1547051851849;-0.248890925925622;-2.09982407407452;0.946597037037203;0.407724567901601;5.36869925925932;5.44658666666676;3.01844972627563
8.0.15;248.113969228396;-79.1942029938271;90.9090937962953;-11.3963001851858;-58.0952043518518;2.83431407407373;68.0718106172842;25.9480183950616;-58.0952043518522;2.83431407407377;1.71358522633668;-2.79103367283868;-22.7955640123465;-22.8897477469146;-0.444615864197338;-4.03877370370383;3.49048185185189;-24.1908933333332;-21.5101840740738;-3.8788568518516;-0.097945185185651;-0.0972398765430238;-3.88794543209837;4.50259462962966;1.2961291666667;3.37870609297988
8.0.17;252.597747129631;-85.8107280555555;81.5796143518509;-9.55323657407469;-53.0624589814814;-0.896937500000242;70.2092608641978;30.7415292592591;-53.0624589814819;-0.896937500000362;-0.381153292181843;-0.754164413579431;-25.7099356172848;-25.4430991049393;-0.109216481481283;-5.18325351851868;-5.47147907407405;-23.5250437037036;-24.9320540740738;0.755615000000269;1.69668648148104;0.309811975308808;-0.559872098765077;7.03931888888892;7.39777157407414;3.17746395419796
