revision;mode;complexity_5;complexity_10;bitRate_36000;bitRate_216000;samplingRate_16000;samplingRate_24000;bitRate_36000 * complexity_5;bitRate_36000 * complexity_10;bitRate_216000 * complexity_5;bitRate_216000 * complexity_10;complexity_5 * samplingRate_16000;complexity_5 * samplingRate_24000;complexity_10 * samplingRate_16000;complexity_10 * samplingRate_24000;bitRate_36000 * channels_2 * complexity_5;bitRate_36000 * channels_2 * complexity_10;bitRate_216000 * channels_2 * complexity_5;bitRate_216000 * channels_2 * complexity_10;channels_2;bitRate_36000 * channels_2;bitRate_216000 * channels_2;channels_2 * complexity_5;channels_2 * complexity_10;bitRate_36000 * complexity_5 * samplingRate_16000;bitRate_36000 * complexity_10 * samplingRate_16000;bitRate_216000 * complexity_5 * samplingRate_16000;bitRate_216000 * complexity_10 * samplingRate_16000;bitRate_36000 * complexity_5 * samplingRate_24000;bitRate_36000 * complexity_10 * samplingRate_24000;bitRate_216000 * complexity_5 * samplingRate_24000;bitRate_216000 * complexity_10 * samplingRate_24000;bitRate_36000 * cbr * complexity_5 * samplingRate_16000;bitRate_36000 * cbr * complexity_10 * samplingRate_16000;bitRate_216000 * cbr * complexity_5 * samplingRate_16000;bitRate_216000 * cbr * complexity_10 * samplingRate_16000;bitRate_36000 * cbr * complexity_5 * samplingRate_24000;bitRate_36000 * cbr * complexity_10 * samplingRate_24000;bitRate_216000 * cbr * complexity_5 * samplingRate_24000;bitRate_216000 * cbr * complexity_10 * samplingRate_24000;bitRate_36000 * samplingRate_16000;bitRate_36000 * samplingRate_24000;bitRate_216000 * samplingRate_16000;bitRate_216000 * samplingRate_24000;bitRate_36000 * cbr * samplingRate_16000;bitRate_36000 * cbr * samplingRate_24000;bitRate_216000 * cbr * samplingRate_16000;bitRate_216000 * cbr * samplingRate_24000;complexity_5 * forcemono;complexity_10 * forcemono;bitRate_36000 * cbr * channels_2 * complexity_5 * samplingRate_16000;bitRate_36000 * cbr * channels_2 * complexity_10 * samplingRate_16000;bitRate_216000 * cbr * channels_2 * complexity_5 * samplingRate_16000;bitRate_216000 * cbr * channels_2 * complexity_10 * samplingRate_16000;bitRate_36000 * cbr * channels_2 * complexity_5 * samplingRate_24000;bitRate_36000 * cbr * channels_2 * complexity_10 * samplingRate_24000;bitRate_216000 * cbr * channels_2 * complexity_5 * samplingRate_24000;bitRate_216000 * cbr * channels_2 * complexity_10 * samplingRate_24000;bitRate_36000 * channels_2 * complexity_5 * samplingRate_16000;bitRate_36000 * channels_2 * complexity_10 * samplingRate_16000;bitRate_216000 * channels_2 * complexity_5 * samplingRate_16000;bitRate_216000 * channels_2 * complexity_10 * samplingRate_16000;bitRate_36000 * channels_2 * complexity_5 * samplingRate_24000;bitRate_36000 * channels_2 * complexity_10 * samplingRate_24000;bitRate_216000 * channels_2 * complexity_5 * samplingRate_24000;bitRate_216000 * channels_2 * complexity_10 * samplingRate_24000;error
1.0.0;24.8279333333351;41.3834425925911;106.931322222221;-13.6406027777787;-8.17052777777895;-6.44433333333396;-9.01960000000052;-22.2288388888888;-83.9003055555563;-22.5668138888885;-84.4292805555561;-12.3477666666657;-18.703674999999;-28.2750999999995;-46.2646749999993;8.43196111111112;35.4312777777779;9.17757777777733;39.6051777777775;-9.10481666666755;7.38888888888965;5.17678888888964;-15.5877666666657;-40.2511166666661;3.8563999999996;36.8385000000002;4.07380833333256;27.4370416666665;7.29595833333293;61.2411583333334;7.20943333333297;38.5704333333336;-0.243816666666005;11.8028500000005;0.029483333333631;0.0268166666667747;-0.246866666665627;37.5961333333344;-0.127783333333139;-0.179383333333287;2.5197166666669;3.54033333333388;2.79014166666693;3.25262499999999;-0.102383333333318;-0.117933333333553;0.0118833333334272;-0.259416666666338;-0.562235185185024;-3.98299444444427;0.309133333332935;15.4700333333327;-0.240266666667188;-0.488333333333697;0.333933333332971;-3.60793333333398;0.149366666666171;0.0932666666668149;3.42860000000066;11.8559000000007;2.64238333333392;-3.33506666666609;4.60410000000032;1.78450000000061;4.10598333333411;-1.35559999999939;11.264925068721
1.0.1;24.8295000000018;41.3951342592578;106.943103703703;-13.6328750000009;-8.17525555555672;-6.43339166666729;-9.01267500000052;-22.2176916666666;-83.9032055555563;-22.5569277777774;-84.4102416666672;-12.3494999999991;-18.713549999999;-28.2752749999995;-46.2707166666659;8.42736666666667;35.4394944444445;9.18637222222177;39.6012833333331;-9.10466666666755;7.38973333333409;5.18524444444519;-15.601449999999;-40.2659944444439;3.85185833333293;36.8568666666669;4.06384999999922;27.4372249999998;7.29654166666626;61.2558416666667;7.22888333333298;38.5624500000002;-0.241016666666007;11.7901166666672;0.0561000000002969;0.00713333333344468;-0.256333333332297;37.5999333333344;-0.176566666666474;-0.170966666666617;2.50403333333356;3.52431666666721;2.79092500000026;3.25019166666666;-0.0923166666666533;-0.117866666666886;-0.00123333333323991;-0.263633333333002;-0.568468518518357;-3.98504629629613;0.290799999999601;15.467166666666;-0.264100000000522;-0.457733333333698;0.343066666666305;-3.64150000000065;0.196466666666172;0.100400000000146;3.43038333333399;11.8406333333341;2.62663333333392;-3.35216666666609;4.61548333333366;1.78266666666727;4.07773333333411;-1.36649999999939;11.2696660769945
1.0.2;24.8390694444462;41.3984898148133;106.941128703703;-13.6456750000009;-8.18274444444561;-6.44155833333396;-9.01643333333386;-22.223211111111;-83.9146222222229;-22.573358333333;-84.4104027777783;-12.3600333333324;-18.7190166666656;-28.2758166666661;-46.2590333333326;8.42205555555556;35.4493611111112;9.20246666666621;39.600872222222;-9.10907222222311;7.39995000000076;5.18777222222297;-15.593349999999;-40.2523388888884;3.8485999999996;36.8911000000002;4.10524166666589;27.4546749999998;7.29924999999959;61.2726833333334;7.24567499999964;38.5507750000002;-0.226149999999342;11.7934166666672;0.0204166666669682;0.00171666666678227;-0.246183333332295;37.608750000001;-0.172266666666474;-0.181433333333281;2.51945833333356;3.53290000000055;2.78936666666693;3.25869166666666;-0.105849999999987;-0.11575000000022;0.00841666666676036;-0.260499999999673;-0.566079629629469;-3.98396851851835;0.297033333332934;15.4610999999994;-0.240266666667187;-0.458600000000364;0.34393333333297;-3.63303333333398;0.198199999999507;0.103366666666811;3.43641666666732;11.8047666666674;2.59985000000058;-3.36883333333275;4.60915000000032;1.75796666666728;4.05488333333411;-1.37856666666605;11.2579586720387
1.0.3;24.8317666666684;41.385168518517;106.970843518518;-13.6378138888898;-8.18172222222339;-6.43964166666729;-9.01662500000053;-22.2395972222221;-83.9517861111118;-22.5552555555552;-84.416944444445;-12.3586333333324;-18.7081166666656;-28.2793333333328;-46.2796333333326;8.44727777777778;35.4862722222223;9.19612777777733;39.5955888888886;-9.10230000000088;7.38492777777853;5.18336111111186;-15.5876888888879;-40.2739166666661;3.8806999999996;36.8818666666669;4.09159166666589;27.4271249999998;7.31078333333293;61.2852333333334;7.24820833333298;38.5431916666669;-0.230199999999339;11.8004000000005;0.0411666666669604;0.0220000000001155;-0.250916666665627;37.592250000001;-0.201133333333144;-0.165299999999951;2.5185416666669;3.53845833333388;2.7964833333336;3.26069999999999;-0.101499999999986;-0.118083333333553;0.00176666666676419;-0.257633333333005;-0.564114814814654;-3.98455370370354;0.294699999999599;15.4656333333327;-0.239933333333853;-0.476400000000364;0.337833333332969;-3.62210000000065;0.221099999999503;0.093433333333478;3.39781666666732;11.8168166666674;2.59506666666725;-3.33813333333275;4.59045000000032;1.75488333333394;4.0366333333341;-1.34496666666606;11.2642195511496
1.1;24.8446888888906;41.3999398148133;106.943277777777;-13.6356722222231;-8.17278888889006;-6.44941666666729;-9.03435000000052;-22.2273194444444;-83.9225305555563;-22.5786527777774;-84.3930972222228;-12.3525499999991;-18.696974999999;-28.2506916666661;-46.2431333333326;8.4363388888889;35.4775944444445;9.2123555555551;39.5896611111109;-9.10134444444532;7.38106111111187;5.16794444444519;-15.6041388888879;-40.2773611111106;3.8606249999996;36.8816333333336;4.09458333333255;27.3986249999998;7.27069999999959;61.2470583333334;7.22400833333298;38.5103333333336;-0.236633333332673;11.7690666666672;0.0232666666669641;0.00236666666678498;-0.24376666666563;37.580300000001;-0.171466666666474;-0.179466666666621;2.51357500000023;3.54662500000055;2.79760000000026;3.27323333333333;-0.101299999999985;-0.121066666666885;0.0079333333334232;-0.262833333333007;-0.569807407407246;-3.98319444444427;0.298766666666265;15.493366666666;-0.239200000000517;-0.474933333333692;0.330833333332971;-3.58606666666731;0.205633333332837;0.100666666666812;3.43205000000066;11.8002166666674;2.61855000000058;-3.31046666666609;4.62621666666699;1.75195000000061;4.05648333333411;-1.32899999999939;11.2622928814278
1.1.1;24.845197222224;41.3924824074059;106.961117592592;-13.6347416666676;-8.18408611111228;-6.43870833333396;-9.02540000000052;-22.2278166666666;-83.9294027777785;-22.5535222222219;-84.4108250000005;-12.3607416666657;-18.704374999999;-28.2707749999995;-46.2689666666659;8.42530000000001;35.4676722222223;9.18461111111066;39.5815499999998;-9.11037777777866;7.38713333333409;5.18435555555631;-15.5873388888879;-40.2711444444439;3.8547749999996;36.8695750000002;4.08317499999922;27.3977916666665;7.29422499999959;61.2642166666667;7.21562499999964;38.5405333333336;-0.230983333332673;11.7708166666672;0.0312000000002997;0.0501333333334411;-0.259716666665628;37.6092833333344;-0.172033333333142;-0.179299999999951;2.5063916666669;3.53253333333388;2.80047500000026;3.27291666666666;-0.0937499999999856;-0.11265000000022;-0.00276666666657441;-0.265133333333004;-0.565075925925764;-3.98324074074057;0.275533333332932;15.5020333333327;-0.243633333333854;-0.491166666667028;0.338666666666304;-3.63980000000064;0.196166666666172;0.100600000000151;3.44941666666732;11.8169833333341;2.61718333333392;-3.30238333333276;4.61801666666699;1.77198333333394;4.06148333333411;-1.33294999999939;11.2643819569905
1.1.2;24.8374805555573;41.4169222222207;106.954446296295;-13.6294583333342;-8.16616111111228;-6.43947500000062;-9.02115000000052;-22.2485055555555;-83.9330305555563;-22.5852194444441;-84.4377277777783;-12.3640999999991;-18.7260166666656;-28.2793833333328;-46.2757249999992;8.43092777777779;35.4559444444445;9.19432222222177;39.5921555555553;-9.10502777777866;7.38668333333409;5.17917222222297;-15.6058166666657;-40.2582499999995;3.86506666666627;36.8946833333336;4.08904166666589;27.4541416666665;7.32251666666626;61.3070583333334;7.24422499999964;38.5834166666669;-0.245649999999341;11.7402166666672;0.0122666666669661;-0.00196666666655632;-0.26584999999896;37.560250000001;-0.166883333333144;-0.167116666666617;2.5095416666669;3.52481666666721;2.79095000000026;3.25695833333332;-0.104483333333318;-0.108216666666887;0.00613333333342317;-0.266883333333009;-0.568811111110951;-3.98247592592575;0.298799999999598;15.5287999999994;-0.234533333333855;-0.449866666667029;0.347166666666303;-3.59950000000065;0.192733333332838;0.0899333333334759;3.44066666666732;11.7944833333341;2.63465000000058;-3.34354999999942;4.61640000000032;1.73318333333394;4.07708333333411;-1.36894999999939;11.2662751524918
1.1.5;24.8252388888907;41.3881638888874;106.911332407406;-13.6199055555564;-8.14997500000117;-6.44215833333396;-9.02294166666719;-22.2350083333332;-83.9045750000008;-22.5940555555552;-84.4053722222228;-12.3455916666657;-18.7093666666656;-28.2570416666661;-46.2409333333326;8.43125000000001;35.4581666666667;9.20092777777733;39.5866777777776;-9.10074444444533;7.37667777777853;5.17025000000075;-15.596449999999;-40.2502833333328;3.85635833333293;36.8749250000002;4.09390833333255;27.4328583333332;7.31621666666626;61.2662333333334;7.27028333333298;38.5522166666669;-0.247783333332674;11.7637833333338;0.0254000000002979;0.00280000000012093;-0.26844999999896;37.5436500000011;-0.17804999999981;-0.17498333333328;2.51265833333357;3.53655833333388;2.79089166666693;3.25714166666666;-0.114316666666655;-0.13265000000022;-0.0131333333332383;-0.282783333333006;-0.564644444444284;-3.98434814814798;0.296099999999598;15.4526999999994;-0.243166666667187;-0.46736666666703;0.349899999999637;-3.61003333333398;0.20043333333284;0.082433333333478;3.44613333333399;11.8279500000007;2.63085000000058;-3.33863333333275;4.61216666666699;1.75728333333394;4.05421666666744;-1.35623333333272;11.2695867715234
1.2;24.8151694444462;41.3649074074059;106.878630555555;-13.6365083333342;-8.16772777777894;-6.44143333333396;-9.02554166666719;-22.203161111111;-83.8656444444452;-22.560558333333;-84.3559083333339;-12.3353666666657;-18.6908833333323;-28.2512749999995;-46.2210249999993;8.43250555555557;35.458238888889;9.19849999999955;39.5700166666664;-9.09960555555644;7.38036666666742;5.17878888888964;-15.5886666666657;-40.2462499999995;3.82440833333294;36.8357833333336;4.07748333333256;27.4089249999998;7.26694166666626;61.21585;7.23659999999964;38.5080416666669;-0.235716666666008;11.7876166666672;0.0326833333336319;0.0132166666667738;-0.229016666665628;37.5780833333344;-0.16579999999981;-0.158733333333286;2.51760833333356;3.54993333333388;2.78791666666693;3.26472499999999;-0.0992166666666533;-0.120750000000218;0.013083333333427;-0.269933333333005;-0.568114814814654;-3.98446111111094;0.284399999999601;15.444466666666;-0.268366666667187;-0.487466666667028;0.311066666666305;-3.61846666666731;0.199366666666171;0.0925000000001459;3.44916666666732;11.8210166666674;2.62668333333392;-3.31791666666609;4.62273333333366;1.75308333333394;4.0451833333341;-1.35591666666606;11.267952884645
1.2.1;24.8064861111129;41.392918518517;106.90361111111;-13.6184000000009;-8.15216666666783;-6.42951666666729;-9.00442500000053;-22.2389777777777;-83.9033194444452;-22.5857444444441;-84.3946527777783;-12.3512999999991;-18.719174999999;-28.2599416666662;-46.2537749999993;8.4592388888889;35.4565722222223;9.23092222222177;39.6008555555553;-9.0949722222231;7.37933333333409;5.17058333333408;-15.6111333333324;-40.2443666666661;3.85293333333293;36.8644416666669;4.10230833333256;27.4344499999998;7.31214166666626;61.2770416666667;7.24594999999964;38.5596833333336;-0.218533333332673;11.8108333333338;0.0245333333336286;0.0179666666667846;-0.243916666665625;37.5768500000011;-0.151449999999807;-0.171149999999951;2.50253333333356;3.51794166666721;2.78189166666693;3.24799999999999;-0.104433333333318;-0.114750000000219;0.00273333333342788;-0.269483333333005;-0.563953703703542;-3.98798888888872;0.290999999999599;15.4365333333327;-0.253566666667185;-0.49740000000036;0.324199999999637;-3.61770000000064;0.176233333332839;0.109200000000145;3.42566666666732;11.8090666666674;2.60390000000058;-3.35506666666609;4.61013333333366;1.73853333333394;4.04983333333411;-1.39076666666606;11.2691902904736
1.3;24.8266888888907;41.3632666666652;106.895191666666;-13.6345666666676;-8.1744333333345;-6.44556666666729;-9.02680000000052;-22.2196444444444;-83.8890055555563;-22.5524277777774;-84.3741222222228;-12.3396166666657;-18.688499999999;-28.2345166666661;-46.2262166666659;8.42217222222223;35.4578777777779;9.19782222222177;39.5958111111109;-9.09866111111199;7.38623333333409;5.17680000000075;-15.5870944444435;-40.2597999999995;3.86064166666627;36.8314750000002;4.06472499999922;27.3939583333332;7.28925833333293;61.2277083333334;7.22164166666631;38.5152250000002;-0.248866666666009;11.7931666666672;0.0396000000002948;0.0111000000001148;-0.238566666665626;37.578500000001;-0.166666666666475;-0.178766666666616;2.51442500000023;3.54362500000054;2.80209166666693;3.26985833333332;-0.101566666666653;-0.117466666666887;0.00386666666676274;-0.266366666666336;-0.563255555555395;-3.98284999999983;0.317333333332932;15.4638333333327;-0.265300000000518;-0.482033333333696;0.315799999999637;-3.60620000000065;0.204066666666169;0.10406666666681;3.42978333333399;11.8142500000007;2.62410000000058;-3.33738333333276;4.61415000000032;1.75728333333394;4.04600000000077;-1.35891666666606;11.2644871136183
1.3.1;24.8209638888907;41.3525592592578;106.88216111111;-13.6289888888898;-8.1629583333345;-6.44227500000062;-9.01883333333386;-22.2131166666666;-83.8820083333341;-22.5534638888885;-84.3591055555561;-12.3356416666657;-18.689749999999;-28.2339583333328;-46.2242583333326;8.43060000000001;35.4557333333334;9.18546111111066;39.5684111111109;-9.10057777777866;7.38547777777853;5.17668333333408;-15.5735833333324;-40.2444833333328;3.8590999999996;36.8548333333336;4.08086666666589;27.3821833333332;7.29352499999959;61.2376500000001;7.23074166666631;38.5067500000002;-0.241999999999342;11.7590333333338;0.0372833333336338;0.021050000000102;-0.241383333332292;37.5909166666677;-0.167616666666478;-0.164949999999952;2.5136666666669;3.53224166666721;2.7898833333336;3.25950833333332;-0.104333333333318;-0.120116666666887;-0.00148333333324055;-0.267983333333005;-0.560001851851691;-3.98078888888872;0.296966666666267;15.4933999999994;-0.236166666667186;-0.46150000000036;0.33073333333297;-3.63053333333398;0.190533333332839;0.0938333333334816;3.40948333333399;11.7911166666674;2.61265000000058;-3.32643333333275;4.59371666666699;1.74215000000061;4.05195000000077;-1.36086666666606;11.2587349290785
